20
Device Source:1001	USB2+H14197
Integration Begin:1002	350,00
Integration End:1003	800,00
Method:1004	Uses the classic Rectangular method for integration.
Moles of Photons:1013	1,7589E-12
PAR uMoles/m²/sec:1015	9,7114E2
PAR uMoles:1014	1,3924E-6
Photons/cm²/sec:1011	7,3875E16
Total Photons:1012	1,0592E12
dBm:1009	-1,5364E1
eV:1010	2,0708E12
uJoule/cm²:1007	2,6402E2
uJoule:1005	3,3177E-1
uWatt/cm²:1008	2,3140E4
uWatt:1006	2,9077E1

Data from actinica_AbsoluteIrradiance_10-09-15-540.txt Node
Date: Wed Jun 05 10:09:15 UYT 2019
User: fenotipado
Spectrometer: USB2+H14197
Trigger mode: 0
Integration Time (sec): 1,141000E-2
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
351,379	1,62
351,747	1,42
352,115	0,64
352,483	2,95
352,852	0,3
353,22	1,64
353,588	1,12
353,956	0,7
354,324	0,21
354,692	0,22
355,06	0,19
355,428	0,93
355,796	1,35
356,164	0,98
356,532	-1,31
356,899	0,36
357,267	0,54
357,635	1,66
358,003	-0,69
358,37	0,42
358,738	-0,46
359,105	0,41
359,473	1,33
359,84	1,11
360,208	0,41
360,575	1,73
360,943	0,75
361,31	0,23
361,678	1,48
362,045	0,62
362,412	-0,31
362,779	1,22
363,146	0,21
363,514	0,53
363,881	1,1
364,248	0,27
364,615	0,28
364,982	0,11
365,349	1,15
365,716	1,08
366,083	0,69
366,45	0,99
366,816	0,56
367,183	0,1
367,55	0,55
367,917	0,25
368,283	0,23
368,65	0,67
369,017	0,41
369,383	0,77
369,75	0,4
370,116	0,73
370,483	0,19
370,849	0,48
371,216	-0,01
371,582	0,57
371,948	1,65
372,314	-0,24
372,681	0,9
373,047	-0,09
373,413	-0,21
373,779	0,67
374,145	-0,3
374,511	-0,29
374,877	0,4
375,243	-0,05
375,609	0,18
375,975	0,59
376,341	0,07
376,707	0,04
377,073	0,81
377,439	0,28
377,804	-0,17
378,17	0,26
378,536	0,26
378,901	0,65
379,267	0,41
379,633	0,29
379,998	0,05
380,364	0,57
380,729	0,14
381,094	0,32
381,46	-0,4
381,825	0,04
382,19	0,61
382,556	0,74
382,921	0,05
383,286	1,05
383,651	0,99
384,016	0,38
384,381	0,78
384,747	0,57
385,112	0,17
385,477	0,52
